r0,g0,b0,r1,g1,b1,r2,g2,b2,r3,g3,b3,r4,g4,b4,r5,g5,b5,r6,g6,b6,r7,g7,b7,r8,g8,b8,cluster
0.147123,0.169765,0.194683,0.137091,0.163286,0.187564,0.137567,0.163721,0.186801,0.175952,0.19562,0.215107,0.161877,0.183566,0.202448,0.155048,0.176741,0.197393,0.218137,0.231097,0.241645,0.199991,0.216764,0.229417,0.181774,0.199535,0.215578,cluster2
0.143821,0.162216,0.21277,0.155931,0.173686,0.224752,0.159645,0.175314,0.221582,0.171778,0.189779,0.23498,0.154057,0.173032,0.217909,0.149194,0.160667,0.19041,0.155503,0.16939,0.205586,0.163402,0.172832,0.204245,0.392098,0.383133,0.39323,cluster2
0.153002,0.173426,0.252394,0.145892,0.163725,0.240878,0.253097,0.240191,0.292648,0.156028,0.175067,0.252348,0.148062,0.163562,0.238521,0.29825,0.279898,0.331025,0.163641,0.180582,0.257104,0.159661,0.171966,0.245638,0.313307,0.290389,0.348616,cluster2
0.121189,0.151291,0.231256,0.148392,0.177891,0.280917,0.375273,0.405433,0.591912,0.125012,0.15339,0.233164,0.141955,0.170135,0.257845,0.344999,0.375408,0.556472,0.126151,0.152891,0.232393,0.139726,0.167329,0.253088,0.337313,0.365264,0.520149,cluster2
0.171074,0.186722,0.263185,0.235988,0.235536,0.294186,0.340383,0.322295,0.357312,0.16702,0.184695,0.26111,0.239867,0.239707,0.296016,0.336531,0.320287,0.354561,0.166038,0.184422,0.258708,0.235893,0.235858,0.292643,0.328871,0.314873,0.348248,cluster2
0.238422,0.239791,0.272157,0.246161,0.246237,0.277224,0.319795,0.303734,0.328466,0.208509,0.215506,0.248688,0.228798,0.231028,0.26548,0.306778,0.294505,0.317976,0.215816,0.220787,0.24973,0.220819,0.223598,0.254105,0.289797,0.28049,0.306258,cluster2
0.267145,0.278083,0.240783,0.27722,0.287488,0.249179,0.28429,0.292122,0.254742,0.264505,0.276864,0.240893,0.279101,0.289884,0.252268,0.288025,0.295683,0.259712,0.26642,0.28065,0.247097,0.277337,0.290599,0.254543,0.28844,0.297945,0.265195,cluster2
0.263737,0.266964,0.316593,0.259167,0.264752,0.316014,0.257571,0.262369,0.313968,0.268478,0.271837,0.325725,0.265661,0.271974,0.325312,0.258126,0.263529,0.318521,0.257995,0.263909,0.317327,0.254395,0.26205,0.316647,0.246772,0.256255,0.312353,cluster2
0.28265,0.278819,0.334273,0.268052,0.265648,0.31748,0.243313,0.244455,0.30205,0.289212,0.283365,0.336393,0.271857,0.269517,0.321503,0.242573,0.243628,0.301541,0.307149,0.305499,0.376015,0.276931,0.274877,0.330048,0.24773,0.247886,0.304698,cluster2
0.273666,0.276294,0.321009,0.274465,0.277065,0.321634,0.206764,0.216457,0.280537,0.273443,0.277146,0.320279,0.274388,0.277124,0.320775,0.197189,0.207787,0.27423,0.275219,0.277279,0.320349,0.274004,0.276586,0.319609,0.187222,0.197767,0.265213,cluster2
